code,description,display
0,Not available (default),Y
1,Reserved for future use,N
2,Reserved for future use,N
3,Reserved for future use,N
4,Reserved for future use,N
5,Reserved for future use,N
6,Reserved for future use,N
7,Reserved for future use,N
8,Reserved for future use,N
9,Reserved for future use,N
10,Reserved for future use,N
11,Reserved for future use,N
12,Reserved for future use,N
13,Reserved for future use,N
14,Reserved for future use,N
15,Reserved for future use,N
16,Reserved for future use,N
17,Reserved for future use,N
18,Reserved for future use,N
19,Reserved for future use,N
20,"Wing in ground (WIG), all ships of this type",Y
21,"Wing in ground (WIG), Hazardous category A",Y
22,"Wing in ground (WIG), Hazardous category B",Y
23,"Wing in ground (WIG), Hazardous category C",Y
24,"Wing in ground (WIG), Hazardous category D",Y
25,"Wing in ground (WIG), Reserved for future use",N
26,"Wing in ground (WIG), Reserved for future use",N
27,"Wing in ground (WIG), Reserved for future use",N
28,"Wing in ground (WIG), Reserved for future use",N
29,"Wing in ground (WIG), Reserved for future use",N
30,Fishing,Y
31,Towing,Y
32,Towing: length exceeds 200m or breadth exceeds 25m,Y
33,Dredging or underwater ops,Y
34,Diving ops,Y
35,Military ops,Y
36,Sailing,Y
37,Pleasure Craft,Y
38,Reserved,N
39,Reserved,N
40,"High speed craft (HSC), all ships of this type",Y
41,"High speed craft (HSC), Hazardous category A",Y
42,"High speed craft (HSC), Hazardous category B",Y
43,"High speed craft (HSC), Hazardous category C",Y
44,"High speed craft (HSC), Hazardous category D",Y
45,"High speed craft (HSC), Reserved for future use",N
46,"High speed craft (HSC), Reserved for future use",N
47,"High speed craft (HSC), Reserved for future use",N
48,"High speed craft (HSC), Reserved for future use",N
49,"High speed craft (HSC), No additional information",Y
50,Pilot Vessel,Y
51,Search and Rescue vessel,Y
52,Tug,Y
53,Port Tender,Y
54,Anti-pollution equipment,Y
55,Law Enforcement,Y
56,Spare - Local Vessel,Y
57,Spare - Local Vessel,Y
58,Medical Transport,Y
59,Noncombatant ship according to RR Resolution No. 18,Y
60,"Passenger, all ships of this type",Y
61,"Passenger, Hazardous category A",Y
62,"Passenger, Hazardous category B",Y
63,"Passenger, Hazardous category C",Y
64,"Passenger, Hazardous category D",Y
65,"Passenger, Reserved for future use",N
66,"Passenger, Reserved for future use",N
67,"Passenger, Reserved for future use",N
68,"Passenger, Reserved for future use",N
69,"Passenger, No additional information",Y
70,"Cargo, all ships of this type",Y
71,"Cargo, Hazardous category A",Y
72,"Cargo, Hazardous category B",Y
73,"Cargo, Hazardous category C",Y
74,"Cargo, Hazardous category D",Y
75,"Cargo, Reserved for future use",N
76,"Cargo, Reserved for future use",N
77,"Cargo, Reserved for future use",N
78,"Cargo, Reserved for future use",N
79,"Cargo, No additional information",Y
80,"Tanker, all ships of this type",Y
81,"Tanker, Hazardous category A",Y
82,"Tanker, Hazardous category B",Y
83,"Tanker, Hazardous category C",Y
84,"Tanker, Hazardous category D",Y
85,"Tanker, Reserved for future use",N
86,"Tanker, Reserved for future use",N
87,"Tanker, Reserved for future use",N
88,"Tanker, Reserved for future use",N
89,"Tanker, No additional information",Y
90,"Other Type, all ships of this type",Y
91,"Other Type, Hazardous category A",Y
92,"Other Type, Hazardous category B",Y
93,"Other Type, Hazardous category C",Y
94,"Other Type, Hazardous category D",Y
95,"Other Type, Reserved for future use",N
96,"Other Type, Reserved for future use",N
97,"Other Type, Reserved for future use",N
98,"Other Type, Reserved for future use",N
99,"Other Type, no additional information",Y
